[2026-08-24 22:14:25] [INFO    ] discord.client: logging in using static token
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1539631784441155634', 'username': 'The Dealer', 'avatar': '34a38aa562e3bd6c507a33411cb439cf', 'discriminator': '1177', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-08-24 22:14:25] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1539631784441155634', 'name': 'The Dealer', 'icon': '34a38aa562e3bd6c507a33411cb439cf', 'description': '', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1539631784441155634', 'username': 'The Dealer', 'avatar': '34a38aa562e3bd6c507a33411cb439cf', 'discriminator': '1177', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7b296b7476ea367124ab80e6722ec608f26b3740aabb6626c538e5e863a860b7', 'flags': 557056, 'flags_new': '557056', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '707396728944590879', 'username': 'lumberloonfreeze', 'avatar': '10248edda03231031fbf8ba7ac1781fd', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'lumberloonfreeze', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'private_channel_obfuscation_enabled': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets', 'eligible_oauth2_scopes': ['applications.builds.read', 'applications.commands', 'applications.commands.permissions.update', 'applications.entitlements', 'applications.store.update', 'bot', 'connections', 'email', 'gdm.join', 'guilds', 'guilds.join', 'guilds.members.read', 'identify', 'messages.read', 'openid', 'role_connections.write', 'rpc', 'rpc.activities.write', 'rpc.notifications.read', 'rpc.screenshare.read', 'rpc.screenshare.write', 'rpc.video.read', 'rpc.video.write', 'rpc.voice.read', 'rpc.voice.write', 'webhook.incoming']}
[2026-08-24 22:14:26] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-08-24 22:14:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-c-nx8l",{"micros":0.0}]']}}
[2026-08-24 22:14:26] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-08-24 22:14:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-08-24 22:14:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'The Dealer', 'primary_guild': None, 'mfa_enabled': False, 'id': '1539631784441155634', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '1177', 'clan': None, 'bot': True, 'avatar': '34a38aa562e3bd6c507a33411cb439cf'}, 'session_type': 'normal', 'session_id': 'af5192adc82bef72e3175ef1ad93f38b', 'resume_gateway_url': 'wss://gateway-us-east1-c.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1197417067352174723'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['sydney', 'jakarta', 'singapore', 'hongkong', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1539631784441155634', 'flags_new': '557056', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-c-nx8l",{"micros":179950,"calls":["id_created",{"micros":923,"calls":[]},"session_lookup_time",{"micros":271,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"sessions-prd-gcp-us-east1-c-81",{"micros":178430,"calls":["start_session",{"micros":154651,"calls":["prd-rpc-56cdd54d49-kpdgd",{"micros":51429,"calls":["get_user",{"micros":10205},"get_guilds",{"micros":5930},"send_scheduled_deletion_message",{"micros":19},"guild_join_requests",{"micros":6},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":1419},"apex_experiments",{"micros":90628},"sessions_experiments",{"micros":7},"played_application_ids",{"micros":5},"linked_users",{"micros":4},"ad_personalization_toggles_disabled",{"micros":4},"regional_feature_config",{"micros":4}]}]},"starting_guild_connect",{"micros":61,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"presence_started",{"micros":368,"calls":[]},"guilds_started",{"micros":94,"calls":[]},"guilds_connect",{"micros":3,"calls":[]},"presence_connect",{"micros":23208,"calls":[]},"connect_finished",{"micros":23221,"calls":[]},"build_ready",{"micros":31,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2026-08-24 22:14:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-08-24 22:14:26] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: af5192adc82bef72e3175ef1ad93f38b).
[2026-08-24 22:14:26] [DEBUG   ] discord.client: Dispatching event connect
